#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
675,"Young Folks","Peter Bjorn and John",81,138,"indie","Pop, Rock","Writer's Block",2006-01-01,04:36,70,81,2,0,66,0,10,-6,C,4,2023-09-08,4dyx5SzxPPaD8xQIid5Wjj,"Universal Music AB",8B,SEBPA0600024
676,"Naive","The Kooks",67,103,"indie, indie rock","Pop, Rock","Inside In / Inside Out",2006-01-01,03:23,55,82,7,0,72,0,10,-6,G#/A♭ minor,4,2023-09-08,2RUhtNBh43RtSg0WBPPq3m,"Virgin Records",1A,GBAAA0500836
677,"Two Weeks","Grizzly Bear",71,160,"indie, indie rock, baroque pop","Classical, Pop, Rock","Veckatimest",2009-05-24,04:06,53,72,30,1,74,0,0,-6,F,4,2023-09-08,04uR2cdkgiaLIzebPcs25m,"Warp Records",7B,GBBPW0900065
678,"Shut up My Moms Calling","Hotel Ugly",88,138,"","","Shut up My Moms Calling",2020-02-10,02:44,49,41,33,0,38,10,10,-11,A minor,4,2023-09-08,3hxIUxnT27p5WcmjGUXNwx,"Hotel Ugly, under exclusive license to Amuseio AB",8A,TCAEQ2083509
679,"Don’t Wanna Love U","Joe P",44,109,"","","Don’t Wanna Love U",2023-08-25,03:29,42,88,8,30,47,0,20,-6,E,4,2023-09-08,09ofD7zRn8MmokbYlhjMWA,"Atlantic Records",12B,USAT22307194
680,"Favorite Liar","The Wrecks",58,120,"","","We Are The Wrecks",2017-02-10,04:02,64,72,2,0,32,0,10,-3,A,4,2023-09-08,1scwknKtBQpreYy6MSoJqJ,"Another Century",11B,TCACM1698474
681,"Roll My Stone","Arcy Drive",57,98,"","","Roll My Stone",2022-07-15,02:59,49,86,8,0,37,0,10,-4,C,3,2023-09-08,0DcfDOaYG8VSZW9ztShlms,"Grand Jury Music",8B,QZK6K2245196
682,"Still a Friend","The Backseat Lovers",62,93,"","","Elevator Days",2018-06-03,03:11,61,26,19,10,13,0,10,-11,D,4,2023-09-08,10goTnuQ31YxbdBBwSx7zt,"The Backseat Lovers",10B,USHM21801366
683,"Misery","Michigander",49,180,"","","Misery",2019-08-09,03:00,34,73,1,0,39,0,0,-5,C,4,2023-09-08,6Zz846CtUmQGP5z4F7sccA,"C3 Records",8B,TCAEI1934930
684,"Swim Naked","Betcha",45,172,"","","Falling",2019-09-13,03:31,38,87,0,0,31,0,20,-4,A#/B♭,4,2023-09-08,4SM0NAUmbllfuu7YeajE4h,"Atlantic Records",6B,USAT21904109
