#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
435,"I'm A Little Crazy","Morgan Wallen",84,150,"country","Country","I'm A Little Crazy",2025-03-21,03:19,64,33,81,0,30,0,10,-8,A,4,2025-04-17,7igCS2ZsfV7bvxuhF4XgiQ,"Mercury Records/Morgan Wallen",11B,USUG12501631
436,"I Ain't Comin' Back (feat. Post Malone)","Morgan Wallen,Post Malone",89,100,"country, ","Country","I Ain't Comin' Back",2025-04-18,02:55,58,74,54,0,75,0,30,-5,B,4,2025-04-24,5ceKWhT3J34xxw5uzIzgU9,"Big Loud Records / Mercury Records / Republic Records",1B,USUG12501623
437,"Out of Oklahoma (From Twisters: The Album)","Lainey Wilson",70,142,"country","Country","Out of Oklahoma (From Twisters: The Album)",2024-06-20,03:28,62,47,45,0,48,0,10,-9,A,4,2025-05-09,34cLr4m5Sxe84XE5oBfO2Q,"Atlantic Records",11B,USAT22403723
438,"What I Want (feat. Tate McRae)","Morgan Wallen,Tate McRae",82,116,"country, ","Country","I’m The Problem",2025-05-16,03:04,66,70,64,0,50,0,10,-4,A,4,2025-05-16,04emojnbYkrRmv5qtJcgVP,"Big Loud Records / Mercury Records / Republic Records",11B,USUG12501601
439,"I Got Better","Morgan Wallen",78,85,"country","Country","I’m The Problem",2025-05-16,03:24,60,80,58,0,54,0,10,-5,C,4,2025-05-16,4gfrYDtaRmp6HPvN80V2ob,"Big Loud Records / Mercury Records / Republic Records",8B,USUG12501599
440,"Superman","Morgan Wallen",76,152,"country","Country","I’m The Problem",2025-05-16,03:08,58,73,58,0,57,0,30,-5,C minor,4,2025-05-16,3KC1yCIfkLrRaeeMUEKvg3,"Big Loud Records / Mercury Records / Republic Records",5A,USUG12501600
441,"Falling Apart","Morgan Wallen",76,96,"country","Country","I’m The Problem",2025-05-16,03:18,59,47,68,0,24,0,10,-7,C♯/D♭,4,2025-05-16,0GnNHCDj2WOJl70UUcvAEP,"Big Loud Records / Mercury Records / Republic Records",3B,USUG12501604
442,"Skoal, Chevy, and Browning","Morgan Wallen",76,140,"country","Country","I’m The Problem",2025-05-16,03:42,57,57,76,0,44,0,10,-7,C minor,4,2025-05-16,6TUf119oQrkteMSKTE1SOf,"Big Loud Records / Mercury Records / Republic Records",5A,USUG12501605
443,"Eyes Are Closed","Morgan Wallen",76,155,"country","Country","I’m The Problem",2025-05-16,03:17,59,67,58,0,31,0,30,-5,C♯/D♭,4,2025-05-16,5QEAqQ7NzbTP8Px5N3Ggmi,"Big Loud Records / Mercury Records / Republic Records",3B,USUG12501606
444,"Kick Myself","Morgan Wallen",75,125,"country","Country","I’m The Problem",2025-05-16,02:39,61,85,7,0,42,0,0,-4,E minor,4,2025-05-16,50kjUO9iWqTamrb3va05hu,"Big Loud Records / Mercury Records / Republic Records",9A,USUG12501607
445,"20 Cigarettes","Morgan Wallen",75,98,"country","Country","I’m The Problem",2025-05-16,02:40,63,57,73,0,40,0,10,-6,A#/B♭ minor,4,2025-05-16,0YsIYFRoxkmEvbKCwTp0Tg,"Big Loud Records / Mercury Records / Republic Records",3A,USUG12501608
446,"TN","Morgan Wallen",75,156,"country","Country","I’m The Problem",2025-05-16,03:05,62,67,58,0,49,0,10,-6,G#/A♭,4,2025-05-16,7lq4b3sYM9cYSnCMxCafKe,"Big Loud Records / Mercury Records / Republic Records",4B,USUG12501609
447,"Missing","Morgan Wallen",75,186,"country","Country","I’m The Problem",2025-05-16,03:02,51,70,13,0,52,0,10,-4,G#/A♭,3,2025-05-16,7trGQmK2IAYxLb3wgqfawy,"Big Loud Records / Mercury Records / Republic Records",4B,USUG12501610
448,"Where'd That Girl Go","Morgan Wallen",75,171,"country","Country","I’m The Problem",2025-05-16,02:31,71,66,78,0,75,0,10,-5,F,4,2025-05-16,72EqPCCpe79JBwtLlVsdZ6,"Big Loud Records / Mercury Records / Republic Records",7B,USUG12501611
449,"Genesis","Morgan Wallen",74,135,"country","Country","I’m The Problem",2025-05-16,03:15,55,89,19,0,61,0,30,-4,F minor,4,2025-05-16,5ImJTOd6BMsvwuRgnlmyr7,"Big Loud Records / Mercury Records / Republic Records",4A,USUG12501612
450,"Revelation","Morgan Wallen",74,151,"country","Country","I’m The Problem",2025-05-16,03:29,64,38,91,0,44,0,10,-8,G minor,4,2025-05-16,4HWDNZ1i6gyzu9tUbNhC2C,"Big Loud Records / Mercury Records / Republic Records",6A,USUG12501613
451,"Number 3 and Number 7 (feat. Eric Church)","Morgan Wallen,Eric Church",74,86,"country, acoustic country","Country, Folk","I’m The Problem",2025-05-16,03:15,54,88,5,0,52,0,10,-4,D#/E♭,4,2025-05-16,5EA2rqylBTFpUVQUKiWFXs,"Big Loud Records / Mercury Records / Republic Records",5B,USUG12501614
452,"Kiss Her In Front Of You","Morgan Wallen",74,144,"country","Country","I’m The Problem",2025-05-16,02:58,64,83,62,0,65,0,20,-3,G minor,4,2025-05-16,3vhOv5qBOX9urPOC9VyhWl,"Big Loud Records / Mercury Records / Republic Records",6A,USUG12501615
453,"If You Were Mine","Morgan Wallen",74,160,"country","Country","I’m The Problem",2025-05-16,02:47,40,85,48,0,36,0,0,-4,A minor,4,2025-05-16,710dGcMZzo15JzqhJmDjOR,"Big Loud Records / Mercury Records / Republic Records",8A,USUG12501616
454,"Don't We","Morgan Wallen",74,133,"country","Country","I’m The Problem",2025-05-16,03:11,59,86,42,0,73,0,10,-4,G#/A♭ minor,4,2025-05-16,7quUr3mlWKcQuBRfl6g5Sn,"Big Loud Records / Mercury Records / Republic Records",1A,USUG12501617
