#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time ,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
477,"Eastside (with Halsey & Khalid)","benny blanco,Halsey,Khalid",75,89,"","","Eastside (with Halsey & Khalid)",2018-07-12,02:53,56,68,56,0,32,30,10,-8,F#/G♭ minor,4,2019-11-22,0d2iYfpKoM0QCKvcLCkBao,"Benny Blanco Solo Album PS",11A,USUM71809132
478,"One Dance","Drake,Wizkid,Kyla",89,104,"rap, afrobeats, afrobeat, afropop, azonto, afroswing, afropiano, ","R&B, Traditional Music, Electronic, Pop, Hip Hop","Views",2016-05-06,02:53,79,63,1,0,37,0,30,-6,C♯/D♭,4,2019-11-22,1zi7xx7UVEFkmKfv06H8x0,"Cash Money Records/Young Money Ent./Universal Rec.",3B,USCM51600028
479,"Truth Hurts","Lizzo",58,158,"","","Cuz I Love You (Deluxe)",2019-05-03,02:53,72,62,11,0,41,10,10,-3,E minor,4,2019-11-22,5qmq61DAAOUaW8AUo8xKhh,"Nice Life/Atlantic",9A,USAT21703896
480,"Stay With Me","Sam Smith",84,84,"soft pop","Pop","In The Lonely Hour",2014-05-26,02:52,41,42,59,0,19,0,10,-6,C,4,2019-11-22,5Nm9ERjJZ5oyfXZTECKmRt,"PLG - Capitol",8B,GBUM71308833
481,"Ric Flair Drip (with Metro Boomin)","Offset,Metro Boomin",82,100,"","","Without Warning",2017-10-30,02:52,88,43,15,0,33,20,10,-8,A,4,2019-12-28,7sO5G9EABYOXQKNPNiE9NR,"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",11B,QZ45A1700064
482,"Dancing With A Stranger (with Normani)","Sam Smith,Normani",74,103,"soft pop, ","Pop","Dancing With A Stranger (with Normani)",2019-01-11,02:51,74,52,45,0,35,0,20,-8,G#/A♭,4,2019-11-22,6Qs4SXO9dwPj5GKvVOv8Ki,"PLG - Capitol",4B,GBUM71807386
483,"Boom Clap","Charli xcx",68,92,"hyperpop, art pop","Pop, Electronic","SUCKER",2014-12-15,02:49,66,91,15,0,58,0,10,-2,E,4,2019-12-28,0Y1MWB026LYxGvhq4EcMiC,"Atlantic Records UK",12B,GBAHS1400160
484,"SAD!","XXXTENTACION",82,75,"emo rap","Hip Hop, Rock","?",2018-03-16,02:46,74,61,26,0,47,10,10,-5,G#/A♭,4,2019-11-22,3ee8Jmje8o58CHK66QrVC2,"Bad Vibes Forever, LLC",4B,USUG11800208
485,"Body Like A Back Road","Sam Hunt",71,99,"country, pop country","Country, Pop","Body Like A Back Road",2017-02-01,02:45,73,46,45,0,66,0,10,-7,F,4,2019-11-22,7mldq42yDuxiUNn08nvzHO,"MCA Nashville",7B,USUM71700575
486,"Ho Hey","The Lumineers",13,80,"folk pop, indie folk","Folk, Pop, Rock","The Lumineers",2012-04-03,02:43,69,47,79,0,35,0,0,-9,C,4,2019-11-22,0W4Kpfp1w2xkY3PrV714B7,"Dualtone Music Group",8B,USDMG1260805
487,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha,Florida Georgia Line",74,154,"country, pop country, acoustic country","Country, Folk, Pop","All Your Fault: Pt. 2",2017-08-11,02:43,64,78,5,0,58,0,0,-6,A#/B♭,4,2019-11-22,7iDa6hUg2VgEL1o1HjmfBn,"Warner Records",6B,USWB11701181
488,"Feel It Still","Portugal. The Man",83,79,"","","Woodstock",2017-06-16,02:43,80,80,4,0,75,0,0,-5,C♯/D♭ minor,4,2019-11-22,6QgjcU0zLnzq5OrUoSZ3OK,"Atlantic Records",12A,USAT21700437
489,"Suge","DaBaby",70,75,"","","Baby On Baby",2019-03-01,02:43,88,66,6,0,84,40,10,-6,D minor,4,2019-12-28,2gwkD6igEhQbDQegRCcdoB,"South Coast Music Group/Interscope Records",7A,USUM71902966
490,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone,Swae Lee",84,90,"","","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)",2018-12-14,02:38,76,48,55,0,91,0,0,-6,D,4,2019-11-22,3KkXRkHbMCARz0aVfEt68P,"Universal Records",10B,USUM71814888
491,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X,Billy Ray Cyrus",77,136,"","","7",2019-06-21,02:37,88,62,5,0,64,10,10,-6,F#/G♭,4,2019-11-22,2YpeDb67231RjR0MgVLzsG,"Columbia",2B,USSM11902498
492,"I Love It (feat. Charli XCX)","Icona Pop,Charli xcx",71,126,"hyperpop, art pop","Pop, Electronic","I Love It (feat. Charli XCX)",2012-06-19,02:35,71,91,1,0,84,0,10,-3,G#/A♭,4,2019-12-28,3VZQshi4COChhXaz7cLP02,"Big Beat Records/Atlantic",4B,USAT21202802
493,"Wow.","Post Malone",79,100,"","","Hollywood's Bleeding",2019-09-06,02:29,83,54,14,0,39,20,10,-7,B minor,4,2019-11-22,7xQAfvXzm3AkraOtGPWIZg,"Republic Records",10A,USUM71822626
